0.610865,0.150000,0.150000,0.000000,0.000000,-0.300000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.610865,0.150000,0.150000,0.000000,-0.000000,-0.300000,0.200000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
0.610865,0.150000,0.150000,0.000000,-0.000000,-0.300000,0.200000,0.000000,0.000001,-0.000001,0.000001,-0.000001,0.000000
0.610865,0.150000,0.150000,0.000000,-0.000001,-0.300000,0.200001,0.000000,0.000005,-0.000005,0.000002,-0.000002,0.000000
0.610865,0.150000,0.150000,-0.000004,-0.000001,-0.300001,0.200001,0.000003,0.000002,-0.000002,0.000001,-0.000001,0.000000
0.610865,0.150000,0.150000,-0.000007,-0.000003,-0.300000,0.200001,0.000007,0.000005,-0.000004,0.000002,-0.000001,0.000000
0.610865,0.150000,0.150000,-0.000013,-0.000005,-0.299999,0.200001,0.000012,0.000008,-0.000007,0.000003,-0.000002,0.000000
0.610865,0.150000,0.150000,-0.000020,-0.000009,-0.299997,0.200000,0.000018,0.000013,-0.000011,0.000005,-0.000003,0.000000
0.610865,0.150000,0.150000,-0.000030,-0.000014,-0.299995,0.200000,0.000027,0.000020,-0.000017,0.000007,-0.000005,0.000000
0.610865,0.150001,0.149999,-0.000042,-0.000019,-0.299993,0.200000,0.000039,0.000028,-0.000024,0.000011,-0.000006,0.000000
0.610865,0.150001,0.149999,-0.000058,-0.000027,-0.299990,0.200000,0.000053,0.000038,-0.000033,0.000014,-0.000009,0.000000
0.610865,0.150001,0.149999,-0.000077,-0.000035,-0.299987,0.200000,0.000071,0.000051,-0.000044,0.000019,-0.000012,0.000000
0.610865,0.150001,0.149999,-0.000099,-0.000046,-0.299983,0.200000,0.000092,0.000066,-0.000057,0.000025,-0.000015,0.000000
0.610865,0.150002,0.149998,-0.000126,-0.000058,-0.299979,0.200000,0.000117,0.000084,-0.000072,0.000032,-0.000020,0.000000
0.610865,0.150002,0.149998,-0.000157,-0.000073,-0.299973,0.200000,0.000145,0.000105,-0.000090,0.000040,-0.000024,0.000000
0.610865,0.150003,0.149997,-0.000193,-0.000090,-0.299967,0.200000,0.000179,0.000130,-0.000111,0.000049,-0.000030,0.000000
0.610864,0.150003,0.149997,-0.000234,-0.000109,-0.299960,0.200000,0.000216,0.000157,-0.000135,0.000059,-0.000037,0.000000
0.610863,0.150004,0.149996,-0.000280,-0.000130,-0.299952,0.200000,0.000259,0.000189,-0.000161,0.000071,-0.000044,0.000000
0.610862,0.150004,0.149995,-0.000332,-0.000154,-0.299943,0.200000,0.000307,0.000224,-0.000191,0.000084,-0.000052,0.000000
0.610860,0.150005,0.149994,-0.000390,-0.000181,-0.299933,0.200000,0.000360,0.000262,-0.000224,0.000099,-0.000061,0.000000
0.610858,0.150006,0.149993,-0.000454,-0.000211,-0.299922,0.200000,0.000419,0.000305,-0.000261,0.000115,-0.000071,0.000000
0.610857,0.150007,0.149992,-0.000524,-0.000244,-0.299910,0.200000,0.000485,0.000352,-0.000301,0.000133,-0.000082,0.000000
0.610855,0.150008,0.149991,-0.000602,-0.000280,-0.299897,0.200000,0.000556,0.000404,-0.000345,0.000152,-0.000093,0.000000
0.610853,0.150009,0.149990,-0.000686,-0.000319,-0.299882,0.200000,0.000634,0.000460,-0.000393,0.000173,-0.000106,0.000000
0.610850,0.150010,0.149989,-0.000778,-0.000362,-0.299866,0.200000,0.000719,0.000521,-0.000445,0.000196,-0.000120,0.000000
0.610848,0.150012,0.149987,-0.000877,-0.000409,-0.299849,0.200000,0.000812,0.000588,-0.000502,0.000221,-0.000136,0.000000
0.610845,0.150013,0.149986,-0.000985,-0.000459,-0.299831,0.200000,0.000911,0.000659,-0.000563,0.000248,-0.000152,0.000000
0.610842,0.150014,0.149984,-0.001101,-0.000513,-0.299811,0.200000,0.001018,0.000736,-0.000629,0.000277,-0.000170,0.000000
0.610839,0.150016,0.149982,-0.001225,-0.000571,-0.299789,0.200000,0.001133,0.000819,-0.000700,0.000308,-0.000189,0.000000
0.610835,0.150018,0.149980,-0.001358,-0.000634,-0.299766,0.200000,0.001257,0.000908,-0.000776,0.000342,-0.000210,0.000000
0.610832,0.150020,0.149978,-0.001500,-0.000701,-0.299741,0.200000,0.001388,0.001003,-0.000857,0.000378,-0.000232,0.000000
0.610828,0.150022,0.149976,-0.001652,-0.000772,-0.299715,0.200000,0.001529,0.001105,-0.000944,0.000416,-0.000255,0.000000
0.610824,0.150024,0.149973,-0.001813,-0.000848,-0.299687,0.200000,0.001678,0.001213,-0.001036,0.000457,-0.000280,0.000000
0.610819,0.150026,0.149971,-0.001983,-0.000928,-0.299657,0.200000,0.001836,0.001328,-0.001134,0.000500,-0.000307,0.000000
0.610814,0.150028,0.149968,-0.002164,-0.001013,-0.299625,0.200000,0.002004,0.001449,-0.001239,0.000546,-0.000335,0.000000
0.610810,0.150031,0.149965,-0.002356,-0.001104,-0.299592,0.200000,0.002181,0.001579,-0.001349,0.000594,-0.000365,0.000000
0.610804,0.150034,0.149962,-0.002557,-0.001199,-0.299557,0.200000,0.002368,0.001715,-0.001466,0.000646,-0.000397,0.000000
0.610799,0.150036,0.149959,-0.002770,-0.001300,-0.299519,0.200000,0.002565,0.001859,-0.001589,0.000700,-0.000430,0.000000
0.610793,0.150039,0.149956,-0.002994,-0.001406,-0.299480,0.200000,0.002772,0.002011,-0.001720,0.000757,-0.000466,0.000000
0.610787,0.150043,0.149952,-0.003229,-0.001518,-0.299439,0.200000,0.002990,0.002171,-0.001857,0.000818,-0.000503,0.000000
