0.612267,1.392076,-0.560967,-0.204511,-0.178645,-0.452953
0.615276,1.341883,-0.549985,-0.205947,-0.180062,-0.467162
0.613540,1.290895,-0.542149,-0.207384,-0.180648,-0.480506
0.604271,1.240623,-0.533673,-0.208621,-0.181069,-0.492781
0.585251,1.193384,-0.516673,-0.209035,-0.183033,-0.503622
0.566290,1.146483,-0.499270,-0.209863,-0.186161,-0.514362
0.547736,1.099664,-0.481973,-0.210934,-0.189954,-0.524905
0.529555,1.052850,-0.464886,-0.212110,-0.194041,-0.535159
0.511792,1.005988,-0.448103,-0.213309,-0.198196,-0.545067
0.494492,0.959045,-0.431683,-0.214487,-0.202283,-0.554592
0.477577,0.912021,-0.415599,-0.215636,-0.206258,-0.563738
0.460993,0.864919,-0.399835,-0.216756,-0.210095,-0.572508
0.444704,0.817738,-0.384381,-0.217845,-0.213778,-0.580907
0.428683,0.770480,-0.369229,-0.218906,-0.217297,-0.588942
0.412912,0.723144,-0.354377,-0.219941,-0.220648,-0.596619
0.397588,0.678487,-0.340201,-0.220699,-0.223699,-0.603063
0.383105,0.641398,-0.327344,-0.220783,-0.226245,-0.606790
0.369455,0.611436,-0.315705,-0.220325,-0.228345,-0.608044
0.356652,0.588180,-0.305196,-0.219437,-0.230036,-0.607029
0.344666,0.571256,-0.295721,-0.218220,-0.231359,-0.603917
0.333455,0.560297,-0.287185,-0.216763,-0.232349,-0.598863
0.322973,0.554945,-0.279495,-0.215149,-0.233041,-0.592005
0.313170,0.554850,-0.272562,-0.213449,-0.233463,-0.583469
0.303994,0.559675,-0.266299,-0.211727,-0.233643,-0.573371
0.295398,0.569092,-0.260627,-0.210043,-0.233606,-0.561819
0.287330,0.582781,-0.255469,-0.208445,-0.233375,-0.548918
0.279744,0.600434,-0.250754,-0.206979,-0.232972,-0.534767
0.272594,0.621756,-0.246414,-0.205682,-0.232418,-0.519465
0.265839,0.646463,-0.242390,-0.204585,-0.231732,-0.503107
0.259012,0.667501,-0.238055,-0.203109,-0.231176,-0.487574
0.252131,0.684886,-0.233445,-0.201302,-0.230730,-0.472886
0.245209,0.698655,-0.228594,-0.199212,-0.230376,-0.459043
0.238258,0.708787,-0.223531,-0.196885,-0.230100,-0.446049
0.231282,0.715215,-0.218277,-0.194362,-0.229887,-0.433912
0.224281,0.717838,-0.212852,-0.191683,-0.229728,-0.422643
0.217255,0.716535,-0.207270,-0.188887,-0.229614,-0.412250
0.210200,0.711175,-0.201548,-0.186012,-0.229535,-0.402741
0.203151,0.701621,-0.195711,-0.183101,-0.229510,-0.394128
0.196111,0.687747,-0.189773,-0.180191,-0.229535,-0.386409
0.189070,0.669447,-0.183744,-0.177314,-0.229602,-0.379573
